98	170	152
99	3	-1
108	14	13
7	13	1
27	36	-1
114	153	130
148	117	163
154	140	3
65	-1	11
34	-1	65
43	94	149
17	8	59
97	49	31
2	-1	3
-1	2	92
102	72	58
141	-1	71
47	119	11
103	-1	44
167	110	168
24	27	-1
-1	151	184
110	37	112
81	-1	96
20	70	123
33	118	91
126	105	127
20	124	4
120	76	121
43	54	42
-1	107	32
32	12	-1
30	35	31
25	-1	67
94	42	9
160	142	32
4	114	41
123	81	22
75	77	-1
143	-1	184
87	74	75
99	-1	36
34	29	-1
29	10	121
78	18	72
95	46	-1
48	45	83
17	93	117
79	-1	46
96	-1	12
155	60	169
-1	134	188
60	56	53
-1	101	52
95	-1	29
56	155	58
52	55	-1
118	159	132
-1	55	15
-1	92	11
52	162	50
79	100	136
88	-1	77
157	175	128
66	67	-1
9	8	119
64	80	157
64	128	33
89	172	157
176	93	108
-1	81	24
16	182	189
-1	15	44
103	104	-1
179	138	40
38	86	40
161	83	28
62	38	138
84	127	44
48	61	82
88	66	-1
37	70	23
101	-1	79
100	46	76
78	102	156
97	177	112
-1	104	75
40	104	105
89	80	62
139	68	88
106	175	158
107	-1	25
93	59	14
69	47	92
34	147	10
54	121	45
112	23	49
12	142	85
0	114	124
41	130	1
83	191	61
82	136	53
15	115	84
18	127	73
87	86	73
26	113	87
90	118	128
91	132	30
140	69	2
189	-1	163
19	22	122
147	164	149
85	22	96
179	105	144
5	36	98
155	171	102
174	139	185
47	146	6
57	25	106
17	148	65
149	-1	28
43	28	95
110	177	151
37	167	24
27	150	98
141	131	-1
156	-1	26
78	26	103
67	63	106
143	133	-1
154	99	5
153	152	125
160	107	57
159	158	129
-1	194	51
193	191	188
101	61	162
171	169	-1
145	77	74
89	145	116
181	108	7
125	16	181
183	97	35
129	39	183
186	113	-1
180	139	138
189	117	176
94	148	111
147	119	6
10	111	120
124	167	170
21	165	122
-1	131	0
154	5	131
130	153	7
50	115	55
84	171	126
68	63	66
-1	133	90
160	57	133
132	159	35
191	76	190
136	193	60
164	6	109
163	-1	111
168	151	-1
170	168	-1
150	123	19
166	19	165
50	192	137
0	150	166
115	137	156
173	68	174
172	-1	175
172	116	187
90	63	173
146	69	181
122	85	183
187	185	186
74	113	180
179	185	145
140	141	176
-1	71	-1
142	143	177
-1	21	39
116	180	178
178	144	-1
178	-1	174
135	190	51
109	146	71
-1	188	161
161	135	100
194	169	193
192	162	135
-1	192	134
