19	42	6
29	32	14
15	12	17
27	18	31
19	12	15
31	28	23
37	38	34
18	5	19
11	17	12
34	28	22
17	16	15
22	17	11
12	19	13
22	11	25
6	20	29
21	12	13
8	41	36
28	31	16
7	32	20
14	21	13
35	26	33
14	32	30
8	39	41
19	15	18
21	11	12
5	18	27
13	19	29
31	18	16
29	14	13
18	15	16
11	21	25
22	28	17
23	4	31
34	22	33
24	8	30
35	25	36
21	30	25
31	4	27
26	2	33
22	35	33
28	16	17
6	29	19
29	20	32
3	23	28
14	30	21
7	24	32
30	32	24
33	2	34
35	22	25
34	38	3
28	34	3
36	25	30
1	26	35
8	36	30
35	36	41
35	41	1
34	2	37
37	10	38
40	1	41
39	9	40
39	40	41
19	5	42
